URL (slug),Назва,Категорія,Короткий опис,Опис на сторінці,Бейдж,В наявності,Походження,Країна,Регіон,Обробка,Різновид,Ферма,Смакові ноти,Кислотність (1-5),Солодкість (1-5),Гіркота (1-5),Профіль обсмажки,Опції помелу,Ціна 250 г (₴),Ціна 1 кг (₴),Ціна Опт 250 г (₴),Ціна Опт 1 кг (₴)
Кава Еспресо ,,,,,,,,,,,,,,,,,,,,,,
ethiopia-tracon,Ефіопія Тракон 4 гр,Кава в зернах, Класичний африканський еспресо з м'якою фруктовістю і квітковим фоном,"Тракон — це трейдер, а не окрема ферма. Сотні невеликих господарств у регіонах Гуджі, Йергачіф та Сідамо здають зібрані ягоди на централізовані станцію, де їх сортують, сушать і готують до експорту. Четвертий грейд в Ефіопії — це не брак, а специфіка сортування: зерна дещо різніші за розміром і щільністю, але в чашці це дає живий, трохи непередбачуваний характер, який виглядає органічно для натуральної обробки",Base,Так,"Сідамо, Ефіопія",Ефіопія,"Сідамо,Гуджі,Йергачіф",Натуральна,Heirloom,"Трейдер Tracon зібрав каву з найвідоміших регіонів Ефіопії: Guji, Sіdamo, Yirgacheffe","чорний чай, сухофрукти, цитрусові",4,3,3, Еспресо,Не молоти | Еспресо | Гейзерна| Джезва | Френч-прес |Чашка(дрібно),275,1100,200,800
colombia-decaf,Колумбія Перейра Декаф,Кава в зернах,Кава без кофеїну для будь-якої години у добі,"Колумбія Перейра, декаф — кава без кофеїну, яка не просить вибачення за відсутність кофеїну. Сухофрукти, какао,  і ніжна яблучна кислотність. Округла, тепла, комфортна. Метод декофеїнізації за допомогою етилацетату, який отримують із цукрової тростини. Саме тому його часто називають ""натуральним"" методом, хоча технічно це все ж хімічна обробка — але м'яка і добре контрольована",Bestseller,Так,"Перейра, Колумбія ",Колумбія,"Перейра, Колумбія ",Мита/ Шугаркейн,"Caturra, Castillo","Це не великі плантації, а тисячі дрібних сімейних господарств площею від 0,5 до 3 гектарів. Більшість фермерів — члени Federación Nacional de Cafeteros (FNC), національної федерації, яка встановлює стандарти якості, надає технічну підтримку і гарантує закупівельну ціну","Яблуко, сухофрукти,  какао",3,3,2,Еспресо,Не молоти | Еспресо | Гейзерна| Джезва | Френч-прес |Чашка(дрібно),375,1500,275,1100
сolombia-popayan,Колумбя Попаян,Кава в зернах,"Впевнена база, як і в молочних напоях так і еспресо","Попаян — столиця департаменту Каука на південному заході Колумбії. Місто відоме як ""Біле місто"" через колоніальну архітектуру з вибіленого каменю, але в кавовому світі Каука — це щось набагато важливіше.
Регіон розташований між Центральною і Західною Кордильєрами Анд. Висота вирощування кави — 1700–2100 м, що є одним із найвищих показників у Колумбії. Саме тут перепади між денними і нічними температурами найбільш різкі: вдень 20–24°C, вночі 10–14°C. Ягода дозріває повільно — і накопичує цукри і кислотність одночасно",,Так,"Попаян, Колумбія",Колумбія,"Каука, Колумбія",Мита,Castillo,"Каука — регіон з переважно корінним і афроколумбійським населенням, де кава вирощується невеликими общинними господарствами і кооперативами. Це дає складніший соціальний контекст порівняно з Рисаральдою чи Уїлою, але і більшу різноманітність мікрокліматів у межах одного регіону","Червоне яблуко, темний виноград, 
курага, молочний шоколад",4,3,2,Еспресо,Не молоти | Еспресо | Гейзерна| Джезва | Френч-прес |Чашка(дрібно),315,1260,220,880
brasil-santos,Бразилія Сантос ,Кава в зернах,"Мабуть, найвпізнаваніша кава у всьому світі :)","Сантос — це не регіон вирощування, а портове місто на узбережжі штату Сан-Паулу. Історично через порт Сантос проходила переважна більшість бразильського кавового експорту — і назва закріпилася як торгова марка для бразильської кави певного стандарту. Сьогодні ""Сантос"" означає комерційний лот з Бразилії, що відповідає визначеним параметрам якості, незалежно від того, з якого конкретно штату прийшло зерно.Це важливо розуміти: Сантос — це не терруар і не регіон, а так би мовити, товарна категорія",,Так,"Мінас-Жерайс, Бразилія",Бразилія,"Мінас-Жерайс, Бразилія",Натуральна ,Mixed,"Бразилія — унікальний кавовий кейс у світовому масштабі. На відміну від більшості виробників, тут кава вирощується на відносно невеликих висотах — 800–1200 м над рівнем моря. Це означає швидше дозрівання, менш виражену кислотність і більш округлий, шоколадний профіль","Фундук чорний шоколад, апельсинові цукати",2,3,4,Еспресо,Не молоти | Еспресо | Гейзерна| Джезва | Френч-прес |Чашка(дрібно),275,1100,200,800
honduras-shg,Гондурас SHG,Кава в зернах,"Настільки класна альтернатива вашій Бразилії в чашці, що навіть важко уявити",Гондурас — найбільший виробник кави в Центральній Америці і один із топ-10 у світі за обсягом. При цьому до початку 2000-х країна практично не мала власної кавової ідентичності — майже всі зерна йшли в анонімні бленди під чужими іменами,,Так,"Копан, Гондурас",Гондурас,"Копан,Гондурас",Мита,Mixed,"Регіон межує з Гватемалою на заході і розділяє з нею вулканічну геологію та висотний діапазон 1000–1500 м. Кава звідси, як правило, складніша і більш фруктова, ніж із центральних регіонів.
Кава з Копану  — це делікатна кислотність, збалансований фініш і природна солодкість. Саме ці характеристики роблять її ідеальною для  ринку","Молочний шоколад, горіхи, цитрусові",2,3,3,Еспресо,Не молоти | Еспресо | Гейзерна| Джезва | Френч-прес |Чашка(дрібно),308,1232,215,860
"tanzania-
kilimanjaro",Танзанія АА Кіліманджаро,Кава в зернах,Нереально чиста кава зі схилів Півдня гори Кіліманджаро,"Це африканська кава з дуже впізнаваним, але відмінним від ефіопського характером. Більш стримана, більш структурована, з відчутною ""кенійською"" близькістю — що логічно з огляду на географію",Something Tasty,Так,"Північ схилу Кіліманджаро, Танзанія",Танзанія,"Північ Кіліманджаро, Танзанія",Мита,Бурбон,"Північні схили — найбільш зволожені і родючі. Вони отримують більше опадів із боку Індійського океану, ніж південні і західні схили. Це пояснює, чому North Kilimanjaro дає більш яскравий і складний профіль порівняно з іншими зонами тієї ж гори","Апельсин, зелене яблуко, персик, какао",4,2,2,Еспресо,Не молоти | Еспресо | Гейзерна| Джезва | Френч-прес |Чашка(дрібно),312,1248,219,875
Кава Еспресо ,,,,,,,,,,,,,,,,,,,,,,
kenya-rockbern,Кенія Гакуюїіні,Кава в зернах,"Та сама Кенія, за що її всі обожнюють","Справжній вибух соковитості та найяскравіший кавовий досвід, який часто порівнюють із ягідним еліксиром або вишуканим чаєм. Завдяки вулканічним ґрунтам та вологій обробці, ця кава має унікальний динамічний смак, який розкривається у воронці або крапельній кавоварці з кожним ковтком",Base,Так,"Кіріньяга, Кенія",Кенія ,"Кіріньяга, Кенія",Мита,"SL28,SL34,Ruiru 11, Batian","Гакуюїіні є єдиною станцією митої обробки, що входить до складу Thirikwa Cooperative у графстві Kirinyaga, на південних схилах високогір’я Mt Kenya. Родючі червоні вулканічні ґрунти та рясні опади створюють ідеальні умови для вирощування кави з багатим, комплексним смаком","Грейпфрут, чорна смородина, лайм, какао",5,2,2,ФІльтр,Не молоти | V60 | | Кемекс |Аеропрес| Френч-прес |Батч Брю |Чашка(дрібно),425,1700,318,1272
burundi-nyagisinru,Бурунді Нягішіру,Кава в зернах,"Яскрава кава, без набридливого ферменту, що хочеться пити чашку за чашкою","Анаеробна натуральна обробка, яка перетворює Бурбон на щось несподіване. Ананас, вишневий йогурт і стиглий абрикос. Яскрава, соковита, трохи грайлива кава з характером",Funky,Так,"Муінга, Бурунді",Бурунді,Муінга,Натуральна анаеробна,Бурбон,"Цей лот було вироблено на станції Nyagishiru CWS, розташованій поблизу річки Рувубу, у 
комуні Бухіньюза(провінція Муйінга) на північному сході Бурунді. Це горбистий регіон із середньою 
висотою 1500–1800 м над рівнем моря та вулканічними ґрунтами. Територію перетинає річка Ніл, а 
також вона межує з Національним парком Рувубу.
Станція Nyagishiru належить і управляється компанією Matsitsi Trading Coffee SU (MATRACO). 
Компанію було створено у 2015 році Зубері Матсіці. Її головна мета — виробництво та 
популяризація specialty-кави, яку можна продавати на міжнародному ринку.","Ананас, вишневий йогурт, абрикос",4,4,1,Фільтр,Не молоти | V60 | | Кемекс |Аеропрес| Френч-прес |Батч Брю |Чашка(дрібно),495,1980,366,1464
costarica-lacatarata,Коста-Ріка Ла Катарата,Кава в зернах,"Солодкий фільтр, як той,що полюбляють у американських фільмах: ""Бажаєте ще кави?""","Хані обробка тут — це свідомий вибір на користь балансу. Частина цукристого слизу залишається на зерні під час сушки, додаючи солодкість і округлість без тієї джемової важкості, яку дає натуральна обробка. У чашці це відчувається як стиглий персик і червоне яблуко — соковиті, живі, але стримані. А в основі — тихий молочний шоколад, який тримає все разом.",Base,Так,"Брунка, Чірріпо, Коста-ріка",Коста-ріка,"Брунка, Чірріпо, Коста-ріка",Хані,Villalobos,"Café Rivense del Chirripó - це сімейна мікропереробна станція, заснована  у 2005 році. Вона 
розташована на півдні Коста-Рики, у регіоні Brunca, в мікрорегіоні під назвою Chirripó. Якість кави цього господарства 
неодноразово відзначалася на конкурсі Cup of Excellence, найвищим досягненням стало 5-е місце у COE 2019 за мікролот 
Vista al Chirripó Caturra Honey. Ферма управляється згідно з принципами сталого розвитку, зосередженими на зниженні 
вуглецевого сліду. Серед ключових практик: грамотне управління тінню для постачання ґрунту органічною речовиною і 
збереження прохолоди кавових дерев; удобрення на основі щорічного аналізу ґрунту; використання гербіцидів лише на 
окремих ділянках із агресивними бур’янами","Стиглий персик, червоне яблуко, шоколад ",2,4,3,Фільр,Не молоти | V60 | | Кемекс |Аеропрес| Френч-прес |Батч Брю |Чашка(дрібно),425,1700,318,1272
colombia-lacascada,Колумбія Ла Каскада,Кава в зернах,"Ні-ні, це не кава, це фруктовий чай з персиком","La Cascada — кава, яка звучить як щось між бокалом білого вина і чашкою чорного чаю. Стиглий персик, соковитий виноградний сік і вишуканий чайний фінал. Авторська ферментація відомої ферми + термалшок перетворюють суміш Бурбонів на справжній витвір мистецтва у вашій буденній чашці кави.",Legendary Lot,Так,Уїла/Опорапа/Санта-роза Колумбія,Колумбія,Уїла/Опорапа/Санта-роза,Мита + Термал шок,Mix of bourbons,"Quebraditas — амбітний проєкт Едісона Арґоте, його дівчини Анхели та її родини. Мета — відродити ферму, яка довгі роки розвивалася повільно. Анхела першою почала рухати господарство у бік спешелті, висадивши сорти Papayo і Bourbon. Cota Cafe
Едісон до цього працював у регіоні Каука, де отримав досвід у ферментації та обробці. Разом вони об'єднали зусилля і запустили проєкт, який включає дві ферми — Chorro Alto і Quebraditas","Персик, виноградний сік, чорний чай",4,4,1,Фільтр,Не молоти | V60 | | Кемекс |Аеропрес| Френч-прес |Батч Брю |Чашка(дрібно),480,1980,400,1600
ethiopia-limu2gr,Ефіопія Ліму 2 гр,Кава в зернах,"Якісна база, яку знають у всьому світі. Характерний почерк ефіопії, за що її усі люблять","Ліму — переважно мита обробка. На відміну від натуральної ефіопської кави, яка дає яскраву ягідну насиченість, мита Ліму — це про чистоту і тонкість. Ферментація тут зазвичай 36–48 годин, після чого зерно ретельно промивається і сушиться на підвищених африканських грядках.
Результат — профіль без зайвого шуму: кожна нотка на своєму місці, нічого не перекриває одне одного.",Base,Так,"Оромія, Джимма, Ефіопя",Ефіопія,"Оромія, Джимма",Мита, JARC varietes,"Ліму — кавовий регіон на південному заході Ефіопії, у зоні Джимма. Це одна з найдавніших кавових територій країни — кажуть, що саме тут і в сусідніх районах кава як рослина зародилася в дикій природі. Тут досі зустрічаються напівдикі дерева, які ростуть у тіні густого лісового пологу.","чорний чай, жасмин, квіти, цитрус, червоне яблуко",3,1,1,Фільтр,Не молоти | V60 | | Кемекс |Аеропрес| Френч-прес |Батч Брю |Чашка(дрібно),425,1700,318,1272
colombia-lasmoras,Колумбія Лас Морас,Кава в зернах,"Кава, що запросто замінить вам десерт. Неймовірно солодка, насичена та багатогранна настільки, що якщо перелічувати дескриптори, то не вистачить місця на наліпці! "," Назва ""Las Moras"" перекладається з іспанської як ""ожина"" — і це не просто назва, а смаковий орієнтир усього лоту.
Обробка побудована на двоетапній ферментації (аеробна → анаеробна) з Термал Шоком ",Legendary Lot,Так,"Асеведо та Піталіто, Уїла Колумбія",Колумбія,"Асеведо та Піталіто, Уїла","Натуральна 
Обробка побудована на двоетапній ферментації (аеробна → анаеробна) з подальшим Thermal Shock — контрастним зануренням у гарячу та холодну воду для стабілізації і фіксації смакового профілю","Caturra, Castillo, Colombia","Лот  створений у співпраці з легендами кавових  фермам El Diviso та Las Flores. Нестор Лассо — молодий виробник, але за кілька років його ім'я стало синонімом конкурсної якості й унікальних смакових профілів. Разом із братом Адріаном він перетворив El Diviso на центр кавової майстерності та ретельно відібраних мікролотів. З 18 гектарів ферми 15 відведено під каву, решта — ліс під охороною.
Las Flores:Джоан та Дієго Верґара здобули визнання завдяки виняткової якості кави та інноваційним технікам обробки — зокрема термошоку з мінімальним впливом. Las Flores входить до топових ферм Уїли поряд з El Diviso Нестора Лассо, а спільними зусиллями і народився цей лот","Полунция, барбарисові цукерки, малина",4,5,2,Фільтр,Не молоти | V60 | | Кемекс |Аеропрес| Френч-прес |Батч Брю |Чашка(дрібно),491,1964,396,1584
сolombia-encisocrew,Колумбія Енкісо Крю,Кава в зернах,"Надзвичайно рідкісний спосіб обробки для цього регіону. Надзвичайно яскрава та дика кава, яка не залежить байдужим","Enciso Crew — це кава з теплим, домашнім характером, але з несподіваною складністю. Поєднання вишневого соку, липового меду і гвоздики створює асоціацію з чимось знайомим і затишним — майже як глінтвейн або вишневий пиріг із пряністю. ",Base,Так,"Толіма, Пландас,Гайтанія",Колумбія,Толіма,Натуральна ,Caturra,"Сьогодні Enciso Family об'єднує кілька гілок і ферм — серед них Finca La Leona і Finca El Triunfo — що працюють за спільними стандартами якості. Така модель дає стабільні лоти без втрати характеру регіону.
Виробничим процесом керує Хосуе Енсісо, відомий інноваційним підходом до ферментації і сушки. За якість відповідає Андрес Енсісо — Q Grader, який займається сенсорним аналізом і адаптацією профілів під міжнародний ринок","Вишневий сік, липовий мед, гвоздика",3,3,3,Фільтр,Не молоти | V60 | | Кемекс |Аеропрес| Френч-прес |Батч Брю |Чашка(дрібно),328,1314,432,1728
colombia-campohermoso,Колумбія Кампо Хермосо,Кава в зернах,"Ко-ферментація з маракуєю дає те, чого не можна отримати звичайною обробкою","У цьому лоті до процесу додана маракуя — свіжий тропічний фрукт, який під час ферментації передає зерну свої ароматичні сполуки, не перетворюючи каву на напій зі смаком фрукта, а підсилюючи і загострюючи те, що вже є в зерні. Результат — кава з яскравою тропічною кислотністю, соковитим характером і чистим, складним профілем",Legendary Lot,Так,"Кіндіо, Колумбія",Колумбвя,Кіндіо,"Мосто ( рідина, що виділяється під час ферментації кавових ягід і містить концентровані дріжджі,молочнокислі бактерії, цукри та органічні кислоти) + Хані + Ко-ферментація з маракуєю","Caturra, Catuai","Campo Hermoso  очолюється Едвіном Нореньою — агропромисловим інженером, суддею Cup of Excellence, консультантом Gesha Village в Ефіопії і одним із піонерів ферментаційних технологій у колумбійській каві. Для їх обробки застосовуються сучасні технології ферментації, зокрема використання ферментаційного середовища mosto, а також коферментація з фруктами, що дозволяє створювати яскраві, складні та незвичайні смакові профілі.","Маракуя, Манго, білий виноград",4,5,1,Фільтр ,"Даний лот ми не можемо змолоти, але підкажемо де це зробити по місцю безкоштовно :)",591,2364,-,-
dripbox-burundi,Дріп-Бокс Бурунді Нягішіру,Дріп-Бокс 7 шт,"Яскрава кава, без набридливого ферменту, що хочеться пити чашку за чашкою","Анаеробна натуральна обробка, яка перетворює Бурбон на щось несподіване. Ананас, вишневий йогурт і стиглий абрикос. Яскрава, соковита, трохи грайлива кава з характером",Funky,Так,"Муінга, Бурунді",Бурунді,Муінга,Натуральна анаеробна,Бурбон,"Цей лот було вироблено на станції Nyagishiru CWS, розташованій поблизу річки Рувубу, у 
комуні Бухіньюза(провінція Муйінга) на північному сході Бурунді. Це горбистий регіон із середньою 
висотою 1500–1800 м над рівнем моря та вулканічними ґрунтами. Територію перетинає річка Ніл, а 
також вона межує з Національним парком Рувубу.
Станція Nyagishiru належить і управляється компанією Matsitsi Trading Coffee SU (MATRACO). 
Компанію було створено у 2015 році Зубері Матсіці. Її головна мета — виробництво та 
популяризація specialty-кави, яку можна продавати на міжнародному ринку.","Ананас, вишневий йогурт, абрикос",4,4,1,Фільтр,-,,360,Ціна від покупки 10 дріп-боксів,240
dripbox-kenya,Дріп-Бокс Кенія Гакуюїіні,Дріп-Бокс 7 шт,"Та сама Кенія, за що її всі обожнюють","Справжній вибух соковитості та найяскравіший кавовий досвід, який часто порівнюють із ягідним еліксиром або вишуканим чаєм. Завдяки вулканічним ґрунтам та вологій обробці, ця кава має унікальний динамічний смак, який розкривається у воронці або крапельній кавоварці з кожним ковтком",Base,Так,"Кіріньяга, Кенія",Кенія ,"Кіріньяга, Кенія",Мита,"SL28,SL34,Ruiru 11, Batian","Гакуюїіні є єдиною станцією митої обробки, що входить до складу Thirikwa Cooperative у графстві Kirinyaga, на південних схилах високогір’я Mt Kenya. Родючі червоні вулканічні ґрунти та рясні опади створюють ідеальні умови для вирощування кави з багатим, комплексним смаком","Грейпфрут, чорна смородина, лайм, какао",5,2,2,ФІльтр,-,,360,Ціна від покупки 10 дріп-боксів,240
dripbox-limu2gr,Дріп-Бокс Ефіопія Ліму 2 гр,Дріп-Бокс 7 шт,"Якісна база, яку знають у всьому світі. Характерний почерк ефіопії, за що її усі люблять","Ліму — переважно мита обробка. На відміну від натуральної ефіопської кави, яка дає яскраву ягідну насиченість, мита Ліму — це про чистоту і тонкість. Ферментація тут зазвичай 36–48 годин, після чого зерно ретельно промивається і сушиться на підвищених африканських грядках.
Результат — профіль без зайвого шуму: кожна нотка на своєму місці, нічого не перекриває одне одного.",Base,Так,"Оромія, Джимма, Ефіопя",Ефіопія,"Оромія, Джимма",Мита, JARC varietes,"Ліму — кавовий регіон на південному заході Ефіопії, у зоні Джимма. Це одна з найдавніших кавових територій країни — кажуть, що саме тут і в сусідніх районах кава як рослина зародилася в дикій природі. Тут досі зустрічаються напівдикі дерева, які ростуть у тіні густого лісового пологу.","чорний чай, жасмин, квіти, цитрус, червоне яблуко",3,1,1,Фільтр,-,,360,Ціна від покупки 10 дріп-боксів,240
dripbox-indonesia,Дріп-Бокс Індонезія Гайо,Дріп-Бокс 7 шт,"Яскрава, потужна та трохи дика, з характером та перша кава, якій ми надали два алкогольних дескриптори","Яскрава та насичена кава з регіону Гайо на острові Суматра. Завдяки тривалій ферментації у вайні-обробці чашка набуває глибокого фруктового характеру та складного солодкого профілю. В ароматі та смаку розкриваються ноти темного рому, червоного вина, темного шоколаду та апельсинової цедри. Щільне тіло, винна кислотність і тривалий солодкий післясмак створюють багатогранний та виразний досвід для поціновувачів ферментованих кав.",Legendary Lot,Так,Суматра,Індонезія,Гайо,Вайні (15 діб анаеробного середовища),"Gayo 1, Gayo 2","Гайо (Gayo Highlands) — високогірний кавовий регіон на півночі острова Суматра, в провінції Aceh. Плантації розташовані на висотах від 1 100 до 1 700 м над рівнем моря, що забезпечує повільне дозрівання ягід і формування складного смакового профілю.

Регіон названий на честь народу Gayo people, який століттями проживає в цих гірських районах. Більшість кави тут вирощують невеликі фермерські господарства на вулканічних ґрунтах, багатих на мінерали.","Темний ром, темний шоколад, червоне вино, апельсинова цедра",5,2,3,Фільтр,-,,360,Ціна від покупки 10 дріп-боксів,240
dripbox-cascada,Дріп-Бокс Колумбія Ла Каскада,Дріп-Бокс 7 шт,"Ні-ні, це не кава, це фруктовий чай з персиком","La Cascada — кава, яка звучить як щось між бокалом білого вина і чашкою чорного чаю. Стиглий персик, соковитий виноградний сік і вишуканий чайний фінал. Авторська ферментація відомої ферми + термалшок перетворюють суміш Бурбонів на справжній витвір мистецтва у вашій буденній чашці кави.",Legendary Lot,Так,Уїла/Опорапа/Санта-роза Колумбія,Колумбія,Уїла/Опорапа/Санта-роза,Мита + Термал шок,Mix of bourbons,"Quebraditas — амбітний проєкт Едісона Арґоте, його дівчини Анхели та її родини. Мета — відродити ферму, яка довгі роки розвивалася повільно. Анхела першою почала рухати господарство у бік спешелті, висадивши сорти Papayo і Bourbon. Cota Cafe
Едісон до цього працював у регіоні Каука, де отримав досвід у ферментації та обробці. Разом вони об'єднали зусилля і запустили проєкт, який включає дві ферми — Chorro Alto і Quebraditas","Персик, виноградний сік, чорний чай",4,4,1,Фільтр,-,,360,Ціна від покупки 10 дріп-боксів,240
