ПРОГРЕС РОБІТ — Сайт для ростерії BATCH,,,,
Станом на: оновлюється по ходу проекту,,,,
,,,,
"ЕТАП 1 — $1,000 | Дизайн + Структура сайту",,,,
№,Задача,Статус,Опис,Примітка
1.1,Дизайн головної сторінки,✅ Готово,"Hero, переваги, популярні товари, блок підписки, футер",Всі секції реалізовані з анімаціями
1.2,Категорії на головній,🟡 Частково,Швидкий вибір категорій на головній,У шапці є — блок категорій прямо на головній не додано (можна додати)
1.3,Дизайн сторінки каталогу,✅ Готово,"Фільтри: регіон, обробка, смакові ноти, обсмаження, сортування",+ скрол категорій на мобілі
1.4,Дизайн картки товару з анімаціями,✅ Готово,"Галерея, вибір ваги/помолу, смак-профіль, hover-анімації",Розмір упаковки на превʼю присутній
1.5,Дизайн кошика,✅ Готово,"Список товарів, кількість, видалення, промокод, підсумок",+ гуртова ціна при 3+ кг
1.6,Дизайн Checkout з гостьовим замовленням,✅ Готово,Двоколонковий чекаут з гостьовим варіантом,Гостьовий працює — банер про бонуси для зареєстрованих
1.7,Дизайн особистого кабінету,✅ Готово,"Логін, профіль, замовлення, статуси",Кабінет повністю на реальних даних з Supabase
1.8,Дизайн сторінки підписки на каву,✅ Готово,Subscription лендинг з вибором кави і періодичності,Дизайн готовий — функціонал гейтнуто «Скоро»
1.9,Дизайн сторінки 'Про нас',✅ Готово,"Історія, команда, філософія",Контент через Sanity
1.10,Дизайн сторінки 'Доставка і оплата',✅ Готово,"Умови НП, способи, терміни, вартість",Адресу оновлено на Полтаву
1.11,Дизайн сторінки 'Контакти',✅ Готово,"Дані, форма, соцмережі",Адреса і Instagram оновлені
1.12,Дизайн Brew Guide,✅ Готово,"V60, AeroPress, French Press, еспресо, турка",Структура + візуал реалізовані
1.13,Дизайн чату підтримки (віджет),❌ Не зроблено,Бічний віджет чату з менеджером,"Чекає на вибір месенджера: Telegram/WhatsApp/Viber"
1.14,Візуальний стиль,✅ Готово,Мінімалізм + акцентні елементи,Чорно-біла гама з кремовими/коричневими відтінками
,,,,
"ЕТАП 2 — $1,000 | Розробка + Інтеграції",,,,
№,Задача,Статус,Опис,Примітка
2.1,Налаштування хостингу + домен,🟡 Частково,Хостинг на Vercel,"Тимчасовий домен batch-coffee.vercel.app — клієнтський домен + Vercel Pro перед запуском"
2.2,Встановлення CMS,✅ Готово,Sanity CMS,Підключено + міграція контенту виконана
2.3,Верстка головної сторінки,✅ Готово,Адаптив desktop/tablet/mobile,—
2.4,Верстка каталогу + фільтри,✅ Готово,"Фільтрація, сортування, поіск, мобільні chip-категорії",—
2.5,Верстка картки товару,✅ Готово,Інтерактивна картка з анімаціями + вибором параметрів,—
2.6,Функціонал порівняння товарів,✅ Готово,Сторінка /compare,—
2.7,Кошик + Checkout (гостьовий),✅ Готово,Повний flow + гостьовий чекаут,"Запис у Supabase, токен для view-сторінки"
2.8,Особистий кабінет,✅ Готово,"Реєстрація, авторизація, профіль","Email OTP, онбординг, профіль у БД"
2.9,Функціонал підписки на каву,⏸ Заблоковано,"Subscription з автосписанням",Чекає на LiqPay recurring + cron job
2.10,Інтеграція з Новою Поштою,⏸ Чекає на клієнта,"Автоматичні розрахунки, відділення, ТТН, трекінг",Потрібен API ключ Nova Poshta
2.11,Sync з Google Sheets (склад),❌ Не зроблено,Автооновлення залишків з Google Sheets,Чекає на доступ до таблиці
2.12,Онлайн-оплата,⏸ Чекає на клієнта,LiqPay / Monobank / WayForPay,Потрібні API ключі від клієнта + договір ФОП
2.13,Віджет чату підтримки,❌ Не зроблено,Telegram-бот або WhatsApp Business,Чекає на вибір месенджера
2.14,Захист контенту від копіювання,❌ Не зроблено,Right-click + text selection disable,Прийняти рішення — це псує UX для добросовісних користувачів
2.15,QR-код для товарів,❌ Не зроблено,QR з лінком на картку товару,Можна швидко додати — скажи коли
,,,,
"ЕТАП 3 — $1,000 | Контент + Запуск",,,,
№,Задача,Статус,Опис,Примітка
3.1,Верстка статичних сторінок,✅ Готово,"Про нас, Доставка, Контакти, FAQ",—
3.2,Brew Guide,✅ Готово,Гайди заварювання з візуалом,—
3.3,Сторінка підписки на каву,🟡 Частково,Лендинг готовий,Функціонал гейтнуто «Скоро» до LiqPay
3.4,Наповнення каталогу,🟡 Частково,До 25 позицій з фото і описами,Базові тестові товари в Sanity — реальні товари додає клієнт
3.5,Email-сповіщення,⏸ Чекає на клієнта,"Підтвердження, статус, ТТН, нагадування про підписку","Потрібен Resend API key (~$0 free tier на 3к/міс)"
3.6,SEO-оптимізація,🟡 Частково,"Meta-теги, sitemap, robots.txt",Базова SEO є — для запуску треба фіналізувати з реальними товарами
3.7,Аналітика,❌ Не зроблено,"GA4, Meta Pixel, GTM",Можна швидко підключити — скажи коли
3.8,Тестування,🟡 По ходу,"Замовлення, оплата, ТТН, синхронізація, підписка",Поточне тестування зроблено для готового флоу
3.9,Запуск + передача,❌ Чекає на готовність,"Деплой, доступи, навчання клієнта",Чекає на завершення інтеграцій
3.10,Гарантійна підтримка (14 днів),⏸ Після запуска,Виправлення багів,—
,,,,
,,,,
БОНУСИ (ПОНАД ПЛАН),,,,
Що додано,Статус,Опис,,
Повноцінна адмінка для замовлень,✅ Готово,"Список з фільтром/пошуком/сортуванням, деталі заказу, зміна статусу, ТТН, внутрішні нотатки, історія статусів",,
Адмін-дашборд з аналітикою,✅ Готово,"KPI картки (виручка, чек, AOV, % відмін), графік виручки за період, bar-chart за статусами, топ-товари, діапазон дат (7/30/90/всі)",,
Адмін: розділ клієнтів,✅ Готово,"Список з агрегатами, деталі клієнта з історією замовлень",,
БД на Supabase з RLS,✅ Готово,"5 міграцій, повна Row Level Security",,
Гуртова ціна (3+ кг = -15%),✅ Готово,Працює у кошику / drawer / /cart / /checkout / БД,,
Refresh цін з Sanity на checkout,✅ Готово,Захист від застарілих цін у localStorage-кошику,,
Логіка ролей (is_admin),✅ Готово,"Сервер-сторонній guard + RLS, CLI скрипт grant-admin",,
Скрипти підтримки в /scripts,✅ Готово,"seed-test-orders, grant-admin, inspect-order, update-site-settings",,
Гостьовий checkout з view_token,✅ Готово,Гість може відкрити свій заказ за URL з токеном — без логіну,,
Timeline статусів замовлення,✅ Готово,Автологування через SQL trigger — клієнт і адмін бачать прогрес,,
,,,,
,,,,
ЩО ПОТРІБНО ВІД КЛІЄНТА ДЛЯ ПРОДОВЖЕННЯ,,,,
Що,Для чого,,
LiqPay merchant_id + private_key,Онлайн-оплата (2.12),,
Nova Poshta API key,Автоматизація доставки (2.10),,
Resend API key (або інший SMTP),Email-сповіщення (3.5),,
TurboSMS / SMSc API key,SMS-логін для телефону,,
Доступ до Google Sheets,Sync складу (2.11),,
Вибір месенджера для чату,Чат-віджет (1.13/2.13),,
Власний домен,Production-запуск (2.1),,
Реальні фото/тексти товарів,Наповнення каталогу (3.4),,
,,,,
,Підготовлено: MOVE Agency,,
,Оновлено: автоматично після кожного коміту,,
